Job Title,Company,Location,Date,Type
Data Analyst,ITCan -,"New Cairo, Cairo, Egypt ",14 days ago,Full Time
Data Analyst,London International Patient Services -,"Sheraton, Cairo, Egypt ",14 days ago,Full Time
Data Analyst,AL-Matar -,"Maadi, Cairo, Egypt ",13 days ago,Full Time
Medical Data Analyst-Private Hospital Background,Confidential -,"New Cairo, Cairo, Egypt ",5 days ago,Full Time
Data Analyst,Safa International Travel -,"Dokki, Giza, Egypt ",15 days ago,Full Time
Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",21 days ago,Full Time
Electronic Data Interchange (EDI) Analyst (Fluent English Speakers Only),FlairsTech -,"Cairo, Egypt ",16 days ago,Full Time
Data Analyst,Othaim -,"Katameya, Cairo, Egypt ",23 days ago,Full Time
Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",28 days ago,Full Time
Senior Software Business Analyst / ERP,Our Education -,"Nasr City, Cairo, Egypt ",2 days ago,Full Time
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",1 month ago,Full Time
Software Business Analyst,WSC -,"Dokki, Giza, Egypt ",27 days ago,Full Time
Market Research Analyst,Gap Polymers  -,"Maadi, Cairo, Egypt ",28 days ago,Full Time
Business analyst,Dawi Clinics -,"Maadi, Cairo, Egypt ",28 days ago,Full Time
Financial Analyst - Innoventures,Cultiv -,"Heliopolis, Cairo, Egypt ",29 days ago,Full Time
