Job Title,Company,Location,Date,Type
Data Analyst (Fleet department),Seoudi Supermarket -,"Giza, Egypt ",3 days ago,Full Time
Data Analyst,Ejada  -,"Riyadh, Saudi Arabia ",3 days ago,Full Time
Data Analyst - in KSA,Ejada  -,"Cairo, Egypt ",3 days ago,Full Time
Senior Decision & Data Analyst,Nugttah -,"Cairo, Egypt ",3 days ago,Full Time
Data Scientist/ Analyst- Remote - Urgent,GetTechForce.com -,"Cairo, Egypt ",7 days ago,Full Time
Big Data Analyst,BBI-Consultancy -,"Cairo, Egypt ",9 days ago,Work From Home
Warehouse Data Analyst Specialist,Halwani Bros -,"10th of Ramadan City, Cairo, Egypt ",4 days ago,Full Time
Medical Data Analyst-Private Hospital Background,Confidential -,"New Cairo, Cairo, Egypt ",16 days ago,Full Time
Data Analyst,AL-Matar -,"Maadi, Cairo, Egypt ",23 days ago,Full Time
Data Analyst,ITCan -,"New Cairo, Cairo, Egypt ",24 days ago,Full Time
Data Analyst,London International Patient Services -,"Sheraton, Cairo, Egypt ",24 days ago,Full Time
Data Analyst,Safa International Travel -,"Dokki, Giza, Egypt ",25 days ago,Full Time
Electronic Data Interchange (EDI) Analyst (Fluent English Speakers Only),FlairsTech -,"Cairo, Egypt ",26 days ago,Full Time
Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",1 month ago,Full Time
Senior Risk Analyst,Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",4 days ago,Full Time
